code,web_name,first_name,second_name,position,team,cost,status,chance_of_playing_next_round,penalties_order,direct_freekicks_order,corners_and_indirect_freekicks_order,xG,xAG,s90,team_name,old_team_name,s90_hist,cbit,recoveries,defcon_multiplier,is_mover,expected_defcon_points,xClean,xPoints
513418,Schade,Kevin,Schade,MID,4,60,a,,2.0,,,12.08,2.05,30.488888888888887,Brentford,Brentford,30.488888888888887,96.0,94.0,1.0,False,1.5754159782444281,8.020973864032173,74.5609575814328
201658,Tavernier,Marcus,Tavernier,MID,3,60,a,,3.0,1.0,6.0,9.06,4.6,30.355555555555554,Bournemouth,Bournemouth,30.355555555555554,101.0,150.0,1.0,False,8.031314949779809,8.530421646629756,73.94567516574253
106611,Keane,Michael,Keane,DEF,9,50,a,,,,,2.3,0.49,28.755555555555556,Everton,Everton,28.755555555555556,302.0,87.0,1.0,False,34.687267404100865,7.837359265165153,73.6801747470803
223340,Saka,Bukayo,Saka,MID,1,95,a,,1.0,2.0,6.0,7.57,7.16,24.644444444444446,Arsenal,Arsenal,24.644444444444446,68.0,116.0,1.0,False,3.808950700825257,15.890859257734549,73.44477696797591
494521,Truffert,Adrien,Truffert,DEF,3,55,a,,,,,1.35,3.07,37.53333333333333,Bournemouth,Bournemouth,37.53333333333333,301.0,188.0,1.0,False,21.45427256393939,8.530421646629756,72.46692089413276
201895,Alderete,Omar,Alderete,DEF,20,50,a,,,,,1.62,0.91,31.07777777777778,Sunderland,Sunderland,31.07777777777778,312.0,103.0,1.0,False,33.997896635146,7.765504479579292,71.85154111395686
503139,Scott,Alex,Scott,MID,3,60,a,,,4.0,7.0,3.8,2.94,31.644444444444446,Bournemouth,Bournemouth,31.644444444444446,193.0,193.0,1.0,False,35.495854100313124,8.530421646629756,70.41955025516738
424876,Szoboszlai,Dominik,Szoboszlai,MID,14,70,a,,2.0,1.0,4.0,4.76,6.83,35.91111111111111,Liverpool,Liverpool,35.91111111111111,152.0,186.0,1.0,False,17.144260076649857,9.206912685583777,70.1350617724998
222531,Gibbs-White,Morgan,Gibbs-White,MID,18,80,a,,2.0,1.0,,10.81,2.91,34.455555555555556,Nott'm Forest,Nott'm Forest,34.455555555555556,68.0,110.0,1.0,False,0.4799441262538671,6.91644527595093,69.53125898026668
484420,E.Le Fée,Enzo,Le Fée,MID,20,60,a,,2.0,2.0,6.0,5.22,5.95,32.55555555555556,Sunderland,Sunderland,32.55555555555556,166.0,153.0,1.0,False,18.268047425205136,7.765504479579292,68.87095038578038
223827,Ballard,Daniel,Ballard,DEF,20,50,a,,,,,2.46,0.63,23.822222222222223,Sunderland,Sunderland,23.822222222222223,264.0,69.0,1.0,False,31.842272574780676,7.765504479579292,67.96506977269647
