Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
343,Paul Onuachu,ng NGA,FW,Southampton,30-216,1994,9,3,269,3.0,0,0,0,0,0,0,1,0,0.9,0.9,0.2,1.1,2,4,7,0.00,0.00,0.00,0.00,0.00,0.31,0.06,0.36,0.31,0.36,Matches
344,Frank Onyeka,ng NGA,MF,Brentford,26-364,1998,2,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
345,Stefan Ortega,de GER,GK,Manchester City,32-054,1992,6,6,540,6.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
346,William Osula,dk DEN,"FW,MF",Newcastle Utd,21-148,2003,6,0,31,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,1,4,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.25,0.00,0.25,Matches
347,Dango Ouattara,bf BFA,"FW,DF",Bournemouth,22-323,2002,16,7,814,9.0,3,3,6,3,0,0,0,0,3.9,3.9,3.8,7.7,35,18,94,0.33,0.33,0.66,0.33,0.66,0.44,0.42,0.85,0.44,0.85,Matches
348,Cole Palmer,eng ENG,MF,Chelsea,22-238,2002,18,18,1567,17.4,12,6,18,9,3,3,3,0,10.7,8.3,6.6,14.9,59,108,90,0.69,0.34,1.03,0.52,0.86,0.61,0.38,0.99,0.48,0.86,Matches
349,Emerson Palmieri,it ITA,DF,West Ham,30-149,1994,18,17,1352,15.0,1,1,2,1,0,0,5,0,1.2,1.2,1.2,2.3,25,42,55,0.07,0.07,0.13,0.07,0.13,0.08,0.08,0.15,0.08,0.15,Matches
350,Lucas PaquetÃ¡,br BRA,MF,West Ham,27-125,1997,18,15,1284,14.3,3,0,3,1,2,2,5,0,3.5,2.0,1.7,3.7,11,72,45,0.21,0.00,0.21,0.07,0.07,0.25,0.12,0.37,0.14,0.26,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
351,Thomas Partey,gh GHA,"MF,DF",Arsenal,31-200,1993,17,14,1313,14.6,2,2,4,2,0,0,2,0,1.2,1.2,1.3,2.6,8,88,13,0.14,0.14,0.27,0.14,0.27,0.08,0.09,0.18,0.08,0.18,Matches
352,Nathan Patterson,sct SCO,DF,Everton,23-075,2001,3,0,42,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,3,6,4,0.00,0.00,0.00,0.00,0.00,0.00,0.51,0.51,0.00,0.51,Matches
353,Andreas Pereira,br BRA,MF,Fulham,28-364,1996,17,15,1150,12.8,2,1,3,2,0,1,5,0,2.9,2.1,2.3,4.3,12,65,46,0.16,0.08,0.23,0.16,0.23,0.22,0.18,0.40,0.16,0.34,Matches
354,Ricardo Pereira,pt POR,DF,Leicester City,31-085,1993,2,2,146,1.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,5,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
355,Kalvin Phillips,eng ENG,MF,Ipswich Town,29-028,1995,9,8,656,7.3,0,0,0,0,0,0,3,1,0.3,0.3,0.1,0.4,4,32,2,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.06,0.04,0.06,Matches
356,Jaden Philogene Bidace,eng ENG,"FW,MF",Aston Villa,22-326,2002,11,2,332,3.7,0,0,0,0,0,0,4,1,0.5,0.5,0.3,0.8,7,4,17,0.00,0.00,0.00,0.00,0.00,0.13,0.08,0.20,0.13,0.20,Matches
357,Jordan Pickford,eng ENG,GK,Everton,30-298,1994,18,18,1620,18.0,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
