Name,Club,npxG,xAG,xClean,90s,first_name,second_name,Position,Cost,xG,points_for_goal,points_for_clean,xPoints
Levi Colwill,Chelsea,1.05,1.2999999999999998,9.0,34.0,Levi,Colwill,DEF,46.0,1.05,6,4,42.41052631578947
Matheus Cunha,Wolves,8.45,7.1,7.0,34.6,,,,,8.45,4,0,55.099999999999994
Diogo Dalot,Manchester Utd,2.05,2.65,11.0,35.2,Diogo,Dalot Teixeira,DEF,51.0,2.05,6,4,61.00789473684211
Mikkel Damsgaard,Brentford,2.15,5.0,6.0,28.4,Mikkel,Damsgaard,MID,50.0,2.15,5,1,30.23421052631579
Ben Davies,Tottenham,1.15,0.2,10.0,6.0,Ben,Davies,DEF,43.0,1.15,6,4,13.81578947368421
Craig Dawson,Wolves,1.25,0.7,7.0,21.6,Craig,Dawson,DEF,44.0,1.25,6,4,25.51578947368421
Kevin De Bruyne,Manchester City,3.3,9.75,19.0,16.2,Kevin,De Bruyne,MID,95.0,3.3,5,1,53.85
Amad Diallo,Manchester Utd,2.55,3.3499999999999996,11.0,23.4,Amad,Diallo,MID,54.0,2.55,5,1,29.573684210526313
RÃºben Dias,Manchester City,1.8,0.44999999999999996,19.0,24.2,Rúben,Gato Alves Dias,DEF,54.0,1.8,6,4,60.55
Luis DÃ­az,Liverpool,11.05,4.75,17.0,23.4,Luis,Díaz,MID,75.0,11.05,5,1,79.96842105263158
Lucas Digne,Aston Villa,1.15,5.15,16.0,29.8,Lucas,Digne,DEF,46.0,1.15,6,4,72.53947368421052
Axel Disasi,Chelsea,1.4,0.15,9.0,6.0,Axel,Disasi,DEF,42.0,1.4,6,4,14.534210526315787
Matt Doherty,Wolves,1.0,1.9500000000000002,7.0,15.8,Matt,Doherty,DEF,43.0,1.0,6,4,23.492105263157896
Jeremy Doku,Manchester City,1.95,3.8,19.0,15.6,Jérémy,Doku,MID,62.0,1.95,5,1,28.95
NicolÃ¡s DomÃ­nguez,Nott'ham Forest,1.85,0.7,15.0,20.0,Nicolás,Domínguez,MID,48.0,1.85,5,1,19.24473684210526
Abdoulaye DoucourÃ©,Everton,5.1000000000000005,2.25,12.0,27.8,Abdoulaye,Doucouré,MID,51.0,5.1000000000000005,5,1,41.02894736842105
Lewis Dunk,Brighton,2.25,0.95,6.0,26.0,Lewis,Dunk,DEF,44.0,2.25,6,4,32.771052631578954
Jhon DurÃ¡n,Aston Villa,5.8,0.35,16.0,13.4,Jhon,Durán,FWD,59.0,5.8,4,0,24.25
Odsonne Ãdouard,Crystal Palace,3.5,0.6,7.0,2.6,Odsonne,Edouard,FWD,51.0,3.5,4,0,15.8
Odsonne Ãdouard,Crystal Palace,3.5,0.6,7.0,2.6,Odsonne,Edouard,FWD,51.0,3.5,4,0,15.8
Odsonne Ãdouard,Leicester City,3.1,0.6,1.0,0.6,Odsonne,Edouard,FWD,51.0,3.1,4,0,14.2
Odsonne Ãdouard,Leicester City,3.1,0.6,1.0,0.6,Odsonne,Edouard,FWD,51.0,3.1,4,0,14.2
Anthony Elanga,Nott'ham Forest,5.3,4.95,15.0,23.2,Anthony,Elanga,MID,51.0,5.3,5,1,50.507894736842104
Harvey Elliott,Liverpool,1.35,1.85,17.0,1.0,Harvey,Elliott,MID,52.0,1.35,5,1,12.747368421052633
Julio Enciso,Brighton,1.7,1.05,6.0,5.2,Julio,Enciso,MID,54.0,1.7,5,1,12.471052631578948
Pervis EstupiÃ±Ã¡n,Brighton,1.0,3.35,6.0,25.6,Pervis,Estupiñán,DEF,51.0,1.0,6,4,32.218421052631584
Eberechi Eze,Crystal Palace,8.15,4.9,7.0,27.8,Eberechi,Eze,MID,66.0,8.15,5,1,60.57105263157895
Evan Ferguson,Brighton,2.8,0.65,6.0,5.0,Evan,Ferguson,FWD,55.0,2.8,4,0,13.149999999999999
Bruno Fernandes,Manchester Utd,7.6499999999999995,10.100000000000001,11.0,32.8,Bruno,Borges Fernandes,MID,84.0,12.4216,5,1,101.90273684210527
Enzo FernÃ¡ndez,Chelsea,4.1,4.6,9.0,27.6,Enzo,Fernández,MID,51.0,4.1,5,1,40.83684210526316
Phil Foden,Manchester City,7.3500000000000005,7.7,19.0,21.4,Phil,Foden,MID,92.0,7.3500000000000005,5,1,70.55
Cody Gakpo,Liverpool,7.8,3.95,17.0,20.2,Cody,Gakpo,FWD,72.0,7.8,4,0,43.05
Idrissa Gana Gueye,Everton,1.4500000000000002,1.15,12.0,29.2,Idrissa,Gueye,MID,48.0,1.4500000000000002,5,1,19.92105263157895
