Name,Club,npxG,xAG,xClean,90s,first_name,second_name,Position,Cost,xG,points_for_goal,points_for_clean,xPoints
Kenny Tete,Fulham,1.45,0.8999999999999999,13.0,28.0,Kenny,Tete,DEF,45.0,1.45,6,4,49.71578947368421
Youri Tielemans,Aston Villa,1.25,5.5,16.0,33.6,Youri,Tielemans,MID,55.0,1.25,5,1,36.89736842105263
Sandro Tonali,Newcastle Utd,1.9500000000000002,0.7,16.0,20.4,Sandro,Tonali,MID,55.0,1.9500000000000002,5,1,20.439473684210526
Pau Torres,Aston Villa,1.0,0.2,16.0,34.0,Pau,Torres,DEF,43.0,1.0,6,4,63.863157894736844
Adama TraorÃ©,Fulham,3.65,3.15,13.0,20.6,Adama,Traoré,MID,47.0,3.65,5,1,34.74736842105263
Leandro Trossard,Arsenal,7.050000000000001,4.6,22.0,22.4,Leandro,Trossard,MID,68.0,7.050000000000001,5,1,62.018421052631574
Destiny Udogie,Tottenham,1.5,2.4000000000000004,10.0,31.8,Destiny,Udogie,DEF,49.0,1.5,6,4,49.67368421052632
Enes Ãnal,Bournemouth,4.15,0.9,13.0,7.2,Dean,Henderson,GK,44.0,4.15,4,0,19.3
Virgil van Dijk,Liverpool,2.4,1.1,17.0,36.0,Virgil,van Dijk,DEF,65.0,2.4,6,4,82.12105263157895
James Ward-Prowse,West Ham,2.2,3.9,6.0,0.4,James,Ward-Prowse,MID,62.0,2.2,5,1,22.763157894736842
James Ward-Prowse,West Ham,2.2,3.9,6.0,0.4,James,Ward-Prowse,MID,62.0,2.2,5,1,22.763157894736842
James Ward-Prowse,Nott'ham Forest,2.3000000000000003,4.0,15.0,8.8,James,Ward-Prowse,MID,62.0,2.3000000000000003,5,1,26.973684210526315
James Ward-Prowse,Nott'ham Forest,2.3000000000000003,4.0,15.0,8.8,James,Ward-Prowse,MID,62.0,2.3000000000000003,5,1,26.973684210526315
Ollie Watkins,Aston Villa,16.4,5.25,16.0,26.2,Ollie,Watkins,FWD,88.0,21.171599999999998,4,0,100.43639999999999
Danny Welbeck,Brighton,8.25,1.35,6.0,24.8,Danny,Welbeck,FWD,56.0,8.25,4,0,37.05
Timo Werner,Tottenham,2.85,3.85,10.0,10.0,Timo,Werner,MID,62.0,2.85,5,1,28.431578947368422
Neco Williams,Nott'ham Forest,1.4,1.3,15.0,20.2,Neco,Williams,DEF,43.0,1.4,6,4,44.194736842105264
Joe Willock,Newcastle Utd,1.1,1.4000000000000001,16.0,12.0,Joe,Willock,MID,48.0,1.1,5,1,14.752631578947367
Callum Wilson,Newcastle Utd,3.6,0.3,16.0,1.4,Callum,Wilson,FWD,69.0,3.6,4,0,15.3
Harry Wilson,Fulham,4.5,1.95,13.0,11.6,Harry,Wilson,MID,52.0,4.5,5,1,32.31842105263158
Yoane Wissa,Brentford,12.0,2.75,6.0,25.2,Yoane,Wissa,FWD,62.0,12.0,4,0,56.25
Chris Wood,Nott'ham Forest,11.25,2.25,15.0,33.0,Chris,Wood,FWD,66.0,11.25,4,0,51.75
Ryan Yates,Nott'ham Forest,3.0,1.1,15.0,29.0,Ryan,Yates,MID,49.0,3.0,5,1,29.747368421052634
Illia Zabarnyi,Bournemouth,1.15,0.7,13.0,38.0,Illia,Zabarnyi,DEF,44.0,1.15,6,4,61.0
Martin Ãdegaard,Arsenal,4.6,6.699999999999999,22.0,20.2,Martin,Dúbravka,GK,42.0,4.6,4,0,38.5
