,Player,npxG,matched_name,score,first_name,second_name,element_type,now_cost
297,Dominic Solanke,16.3,dominic solanke-mitchell,76.92307692307692,Dominic,Solanke-Mitchell,FWD,75.0
298,TomÃ¡Å¡ SouÄek,6.15,tomas soucek,76.92307692307692,Tomáš,Souček,MID,49.0
300,Raheem Sterling,3.75,raheem sterling,100.0,Raheem,Sterling,MID,67.0
302,Dominik Szoboszlai,5.85,dominik szoboszlai,100.0,Dominik,Szoboszlai,MID,63.0
304,James Tarkowski,2.0,james tarkowski,100.0,James,Tarkowski,DEF,48.0
305,Marcus Tavernier,6.05,marcus tavernier,100.0,Marcus,Tavernier,MID,54.0
307,Kenny Tete,1.45,kenny tete,100.0,Kenny,Tete,DEF,45.0
309,Youri Tielemans,1.25,youri tielemans,100.0,Youri,Tielemans,MID,55.0
313,Sandro Tonali,1.9500000000000002,sandro tonali,100.0,Sandro,Tonali,MID,55.0
314,Pau Torres,1.0,pau torres,100.0,Pau,Torres,DEF,43.0
315,Adama TraorÃ©,3.65,adama traore,81.4814814814815,Adama,Traoré,MID,47.0
318,Leandro Trossard,7.050000000000001,leandro trossard,100.0,Leandro,Trossard,MID,68.0
320,Destiny Udogie,1.5,destiny udogie,100.0,Destiny,Udogie,DEF,49.0
322,Enes Ãnal,4.15,dean henderson,60.86956521739131,Dean,Henderson,GK,44.0
323,Virgil van Dijk,2.4,virgil van dijk,100.0,Virgil,van Dijk,DEF,65.0
331,James Ward-Prowse,2.2,james ward-prowse,100.0,James,Ward-Prowse,MID,62.0
332,James Ward-Prowse,2.3000000000000003,james ward-prowse,100.0,James,Ward-Prowse,MID,62.0
333,Ollie Watkins,16.4,ollie watkins,100.0,Ollie,Watkins,FWD,88.0
335,Danny Welbeck,8.25,danny welbeck,100.0,Danny,Welbeck,FWD,56.0
336,Timo Werner,2.85,timo werner,100.0,Timo,Werner,MID,62.0
339,Neco Williams,1.4,neco williams,100.0,Neco,Williams,DEF,43.0
340,Joe Willock,1.1,joe willock,100.0,Joe,Willock,MID,48.0
341,Callum Wilson,3.6,callum wilson,100.0,Callum,Wilson,FWD,69.0
342,Harry Wilson,4.5,harry wilson,100.0,Harry,Wilson,MID,52.0
343,Yoane Wissa,12.0,yoane wissa,100.0,Yoane,Wissa,FWD,62.0
344,Chris Wood,11.25,chris wood,100.0,Chris,Wood,FWD,66.0
346,Ryan Yates,3.0,ryan yates,100.0,Ryan,Yates,MID,49.0
348,Illia Zabarnyi,1.15,illia zabarnyi,100.0,Illia,Zabarnyi,DEF,44.0
350,Martin Ãdegaard,4.6,martin dubravka,66.66666666666667,Martin,Dúbravka,GK,42.0
