id,text,created_at,edit_history_tweet_ids
1810856100671148532,"Argentina 2 : 0 Canada

▪ Penbox shots: 7 - 5
▪ Deep completions: 2 - 12
▪ Buildup completion: 87.4% - 87.5%
▪ PPDA: 13.7 - 9.9
▪ High turnovers: 1 - 6 https://t.co/gBTiP8JH4C",2024-07-10T01:58:33.000Z,['1810856100671148532']
1810856061718647188,"Argentina 2 : 0 Canada

▪ xG: 1.51 - 1.06
▪ xThreat: 0.72 - 0.99
▪ Possession: 51.3% - 48.7%
▪ Field Tilt: 31.8% - 68.2%
▪ Def Action Height: 40.6 - 53.4 https://t.co/Zik2tYsw7P",2024-07-10T01:58:23.000Z,['1810856061718647188']
1810780423779484072,"Aymeric Laporte vs. France

Successful Passes: 74
Expected Threat: 0.15
Progression via pass: 6.14
Progression via carry: 5.07 https://t.co/ACzcFTzGIX",2024-07-09T20:57:50.000Z,['1810780423779484072']
1810780409325900149,"Spain 2 : 1 France

▪ Pass directness: 31.4 - 31.2
▪ 10+ pass sequences: 21 - 11
▪ Goalkick length: 33.0 - 14.3
▪ Goalkick progr.: 47.1 - 49.2 https://t.co/0bGsh166nB",2024-07-09T20:57:46.000Z,['1810780409325900149']
1810780368032940088,"Spain 2 : 1 France

▪ Penbox shots: 2 - 8
▪ Deep completions: 9 - 8
▪ Buildup completion: 90.2% - 88.7%
▪ PPDA: 10.3 - 9.9
▪ High turnovers: 2 - 2 https://t.co/zx8iwgMD6A",2024-07-09T20:57:37.000Z,['1810780368032940088']
1810780324521202105,"Spain 2 : 1 France

▪ xG: 0.95 - 1.5
▪ xThreat: 1.14 - 1.64
▪ Possession: 57.8% - 42.2%
▪ Field Tilt: 53.6% - 46.4%
▪ Def Action Height: 43.4 - 48.3 https://t.co/229oXUN2Cq",2024-07-09T20:57:26.000Z,['1810780324521202105']
1809784635397931272,"Marquinhos vs. Uruguay

Successful Passes: 59
Expected Threat: 0.12
Progression via pass: 5.01
Progression via carry: 3.02 https://t.co/A0AJE5l95N",2024-07-07T03:00:55.000Z,['1809784635397931272']
1809784623410606118,"Uruguay 0 : 0 Brazil

▪ Pass directness: 32.3 - 32.2
▪ 10+ pass sequences: 4 - 6
▪ Goalkick length: 64.6 - 18.0
▪ Goalkick progr.: 45.0 - 31.0 https://t.co/dm3YuwwXWi",2024-07-07T03:00:53.000Z,['1809784623410606118']
1809784583535358055,"Uruguay 0 : 0 Brazil

▪ Penbox shots: 6 - 1
▪ Deep completions: 4 - 4
▪ Buildup completion: 74.4% - 80.7%
▪ PPDA: 5.6 - 3.8
▪ High turnovers: 2 - 2 https://t.co/dxZMXV5Rds",2024-07-07T03:00:43.000Z,['1809784583535358055']
1809784546260578555,"Uruguay 0 : 0 Brazil

▪ xG: 1.02 - 1.08
▪ xThreat: 1.14 - 0.75
▪ Possession: 40.5% - 59.5%
▪ Field Tilt: 60.7% - 39.3%
▪ Def Action Height: 50.9 - 45.9 https://t.co/1Q63bcGhG4",2024-07-07T03:00:34.000Z,['1809784546260578555']
