published_at,content
2024-07-06 21:07:24+00,Netherlands 2 : 1 Turkiye  ▪ Pass directness: 28.6 - 26.4 ▪ 10+ pass sequences: 22 - 12 ▪ Goalkick length: 36.3 - 31.6 ▪ Goalkick progr.: 32.0 - 23.8 https://t.co/CI8rL6jUqD
2024-07-06 21:07:27+00,Stefan de Vrij vs. Turkiye  Successful Passes: 77 Expected Threat: 0.12 Progression via pass: 5.58 Progression via carry: 2.59 https://t.co/YpaKAeXbAC
2024-07-06 18:30:04+00,England 1 : 1 Switzerland  ▪ Pass directness: 24.8 - 26.8 ▪ 10+ pass sequences: 25 - 26 ▪ Goalkick length: 56.3 - 13.1 ▪ Goalkick progr.: 50.2 - 43.8 https://t.co/Zy1DFPjncn
2024-07-06 18:30:07+00,Bukayo Saka vs. Switzerland  Successful Passes: 48 Expected Threat: 0.4 Progression via pass: 5.03 Progression via carry: 4.59 https://t.co/ghaqzuIFL4
2024-07-06 18:29:42+00,England 1 : 1 Switzerland  ▪ xG: 0.43 - 1.07 ▪ xThreat: 1.58 - 1.33 ▪ Possession: 52.1% - 47.9% ▪ Field Tilt: 62.8% - 37.2% ▪ Def Action Height: 44.9 - 51.5 https://t.co/6yYpoPRnJa
2024-07-06 18:29:54+00,England 1 : 1 Switzerland  ▪ Penbox shots: 7 - 10 ▪ Deep completions: 11 - 12 ▪ Buildup completion: 92.1% - 91.8% ▪ PPDA: 11.6 - 11.9 ▪ High turnovers: 6 - 2 https://t.co/aTC5DqRmA1
2024-07-06 03:01:14+00,Venezuela 1 : 1 Canada  ▪ xG: 0.7 - 1.65 ▪ xThreat: 1.41 - 0.86 ▪ Possession: 55.4% - 44.6% ▪ Field Tilt: 58.4% - 41.6% ▪ Def Action Height: 45.6 - 38.3 https://t.co/eQxMsO4tx5
2024-07-05 21:32:23+00,Portugal 0 : 0 France  ▪ xG: 2.29 - 1.29 ▪ xThreat: 1.63 - 1.49 ▪ Possession: 60.0% - 40.0% ▪ Field Tilt: 48.9% - 51.1% ▪ Def Action Height: 37.7 - 40.2 https://t.co/PnCBrKn2U0
2024-07-05 21:32:45+00,Portugal 0 : 0 France  ▪ Pass directness: 24.5 - 30.4 ▪ 10+ pass sequences: 42 - 28 ▪ Goalkick length: 19.3 - 22.7 ▪ Goalkick progr.: 72.6 - 60.1 https://t.co/pYwXhdQzqR
2024-07-05 21:32:48+00,Aurélien Tchouaméni vs. Portugal  Successful Passes: 82 Expected Threat: 0.27 Progression via pass: 9.05 Progression via carry: 2.67 https://t.co/Up8U7k9rFS
