Home Team,Home Score,Away Score,Away Team,Home xG,Away xG,Home xThreat,Away xThreat,Home Pass directness,Away Pass directness,Home Penbox shots,Away Penbox shots,Home Possession,Away Possession,Home Field Tilt,Away Field Tilt,Home Def Action Height,Away Def Action Height,Home 10+ Pass Sequences,Away 10+ Pass Sequences,Home Goal Kick Length,Away Goal Kick Length,Home Goal Kick Progression,Away Goal Kick Progression
Sassuolo,1.0,0.0,Inter,0.31,1.65,0.6,1.91,36.6,27.4,,,24.5,75.5,19.5,80.5,38.7,43.3,4.0,37.0,51.3,20.0,25.8,75.5
Sassuolo,3.0,3.0,Milan,1.19,3.25,1.04,1.62,42.1,32.3,,,33.0,67.0,33.7,66.3,39.9,49.0,4.0,17.0,52.2,17.7,19.4,65.0
Scotland,0.0,1.0,Hungary,0.22,1.43,1.48,0.91,,,,,57.0,43.0,50.0,50.0,50.1,47.0,,,,,,
Scotland,1.0,1.0,Switzerland,1.11,1.01,1.25,0.8,,,,,47.6,52.4,49.1,50.9,48.7,43.9,,,,,,
Serbia,0.0,1.0,England,0.27,0.96,0.9,1.3,27.0,27.0,,,47.2,52.8,48.6,51.4,45.6,42.7,21.0,24.0,17.9,66.6,63.3,57.3
Sevilla,1.0,2.0,Barcelona,1.83,1.31,1.68,1.95,31.5,30.8,13.0,9.0,39.2,60.8,38.2,61.8,42.3,51.2,16.0,30.0,40.6,23.6,51.8,81.1
Sheff Utd,0.0,3.0,Spurs,0.83,2.78,0.45,1.98,31.0,28.8,,,25.3,74.7,23.6,76.4,35.5,56.1,4.0,32.0,50.4,12.2,29.6,50.6
Sheff Utd,1.0,3.0,N,2.36,2.09,1.67,1.49,,,,,53.8,46.2,59.5,40.5,50.8,36.4,,,,,,
Sheff Utd,1.0,4.0,Burnley,1.79,2.02,1.99,1.46,,,,,48.9,51.1,57.5,42.5,49.4,44.6,,,,,,
Sheff Utd,2.0,2.0,Chelsea,1.32,0.61,1.53,1.14,37.9,30.0,8.0,3.0,32.8,67.2,40.8,59.2,44.7,51.3,8.0,20.0,58.9,33.5,39.2,52.8
Sheff Utd,3.0,3.0,Fulham,1.61,1.04,1.21,2.36,,,,,26.7,73.3,23.6,76.4,37.2,43.4,,,,,,
Slovakia,1.0,1.0,Romania,1.0,1.02,1.3,0.43,,,,,58.0,42.0,51.4,48.6,47.4,45.0,,,,,,
Slovakia,1.0,2.0,Ukraine,1.19,1.55,1.2,1.43,,,,,56.0,44.0,61.6,38.4,52.1,43.9,,,,,,
Slovenia,1.0,1.0,Denmark,1.35,1.93,1.03,2.51,31.3,29.0,,,32.9,67.1,25.1,74.9,35.9,48.6,7.0,26.0,40.8,32.8,28.4,49.4
Slovenia,1.0,1.0,Serbia,1.46,2.18,1.05,2.4,,,,,39.7,60.3,39.9,60.1,40.6,46.7,,,,,,
Sociedad,0.0,1.0,Real Madrid,0.38,0.71,1.23,0.78,28.7,29.5,,,55.9,44.1,79.0,21.0,54.8,41.9,20.0,14.0,0.0,37.8,0.0,31.5
Spain,1.0,0.0,Italy,2.35,0.2,1.94,0.75,26.9,28.7,,,56.9,43.1,77.6,22.4,54.5,37.0,29.0,11.0,44.6,17.8,35.8,50.5
Spain,1.0,1.0,Germany,1.18,2.44,1.01,2.2,31.8,35.1,,,46.5,53.5,40.4,59.6,45.9,43.5,14.0,17.0,33.3,27.3,38.8,33.8
Spain,2.0,1.0,England,2.55,0.92,1.59,0.81,28.0,30.1,,,65.2,34.8,69.8,30.2,55.7,48.9,24.0,10.0,22.1,52.6,34.1,30.6
Spain,2.0,1.0,France,0.95,1.5,1.14,1.64,31.4,31.2,2.0,8.0,57.8,42.2,53.6,46.4,43.4,48.3,21.0,11.0,33.0,14.3,47.1,49.2
Spain,3.0,0.0,Croatia,2.22,2.15,1.29,1.22,29.0,27.0,8.0,10.0,46.4,53.6,55.0,45.0,51.5,44.8,15.0,18.0,39.8,23.3,34.5,46.3
Spain,4.0,1.0,Georgia,3.48,0.15,2.68,0.32,26.8,37.6,,,75.0,25.0,95.6,4.4,58.8,30.3,38.0,6.0,22.8,39.0,87.2,37.3
Spurs,0.0,2.0,Man City,1.72,2.7,1.32,1.26,27.8,29.8,,,52.9,47.1,56.0,44.0,49.6,49.0,24.0,21.0,8.7,24.3,37.4,57.1
Spurs,2.0,1.0,Burnley,2.41,0.82,1.88,0.96,32.2,33.7,16.0,6.0,62.6,37.4,84.4,15.6,58.4,38.5,20.0,9.0,20.0,13.1,22.8,32.1
Spurs,2.0,1.0,Luton,2.22,0.46,2.12,1.11,28.9,35.0,,,69.6,30.4,76.2,23.8,52.0,46.4,25.0,4.0,11.4,46.8,51.4,29.9
Spurs,2.0,3.0,Arsenal,2.66,1.48,1.67,1.34,29.6,34.1,9.0,7.0,62.1,37.9,66.0,34.0,51.6,44.3,24.0,8.0,12.2,22.9,44.4,45.9
Spurs,3.0,1.0,N,1.43,2.11,1.98,0.89,33.2,35.1,,,63.1,36.9,77.7,22.3,48.8,39.3,20.0,12.0,24.5,41.4,71.1,41.7
Stuttgart,3.0,1.0,Bayern,2.25,1.9,1.86,0.84,30.4,30.0,,,60.5,39.5,87.0,13.0,54.7,33.9,29.0,13.0,23.4,8.7,46.3,67.8
Switzerland,1.0,1.0,Germany,0.68,2.39,0.87,2.35,35.1,29.3,1.0,12.0,34.7,65.3,31.2,68.8,44.1,44.9,8.0,21.0,42.0,8.8,35.9,79.2
Switzerland,2.0,0.0,Italy,1.31,0.77,1.23,0.79,29.0,20.8,,,49.5,50.5,53.9,46.1,45.3,39.0,21.0,21.0,20.1,19.8,59.0,53.7
Torino,0.0,0.0,Juventus,1.19,1.41,1.42,1.53,24.6,32.2,6.0,6.0,47.6,52.4,66.1,33.9,56.3,45.7,11.0,15.0,70.9,30.1,36.6,28.6
